Date,City,Region,PM2.5,PM10,NO2,CO,SO2,AQI,AQI_Bucket,Year,Month
2015-01-03,Agra,North,106,215,65,3.78,26,235,Poor,2015,1
2015-01-04,Agra,North,111,213,56,3.81,36,239,Poor,2015,1
2015-01-05,Agra,North,109,199,51,3.78,25,221,Poor,2015,1
2015-01-05,Agra,North,110,186,57,4.09,28,241,Poor,2015,1
2015-01-06,Agra,North,118,208,58,4.95,25,238,Poor,2015,1
2015-01-08,Agra,North,119,204,64,4.48,28,258,Poor,2015,1
2015-01-08,Agra,North,123,213,58,4.1,29,245,Poor,2015,1
2015-01-09,Agra,North,91,222,58,4.08,35,238,Poor,2015,1
2015-01-12,Agra,North,110,191,59,4.25,28,232,Poor,2015,1
2015-01-13,Agra,North,110,221,50,4.71,24,243,Poor,2015,1
2015-01-14,Agra,North,136,242,59,4.51,33,261,Poor,2015,1
2015-01-14,Agra,North,130,264,67,4.78,31,281,Poor,2015,1
2015-01-14,Agra,North,110,223,52,4.82,29,255,Poor,2015,1
2015-01-16,Agra,North,129,204,55,4.21,25,239,Poor,2015,1
2015-01-17,Agra,North,109,209,65,4.69,24,249,Poor,2015,1
2015-01-17,Agra,North,120,223,64,4.79,30,247,Poor,2015,1
2015-01-18,Agra,North,112,196,47,3.86,25,216,Poor,2015,1
2015-01-19,Agra,North,102,191,60,4.39,26,231,Poor,2015,1
2015-01-20,Agra,North,130,210,67,4.73,33,265,Poor,2015,1
2015-01-20,Agra,North,98,174,52,3.45,34,217,Poor,2015,1
2015-01-21,Agra,North,110,200,56,4.03,32,239,Poor,2015,1
2015-01-21,Agra,North,94,199,61,3.87,26,226,Poor,2015,1
2015-01-23,Agra,North,113,183,65,3.84,23,231,Poor,2015,1
2015-01-23,Agra,North,113,225,66,4.77,28,251,Poor,2015,1
2015-01-24,Agra,North,105,201,53,4.17,38,229,Poor,2015,1
2015-01-25,Agra,North,101,232,64,3.88,29,244,Poor,2015,1
2015-01-26,Agra,North,102,209,63,4.06,26,235,Poor,2015,1
2015-01-26,Agra,North,118,187,43,4.37,25,235,Poor,2015,1
2015-01-27,Agra,North,94,201,60,3.79,26,229,Poor,2015,1
2015-02-01,Agra,North,105,190,51,3.96,24,224,Poor,2015,2
2015-02-01,Agra,North,105,201,60,3.89,26,234,Poor,2015,2
2015-02-01,Agra,North,113,200,55,3.52,30,224,Poor,2015,2
2015-02-02,Agra,North,111,189,57,3.59,30,222,Poor,2015,2
2015-02-02,Agra,North,106,213,57,4.66,23,233,Poor,2015,2
2015-02-03,Agra,North,98,219,59,4.01,27,238,Poor,2015,2
2015-02-04,Agra,North,97,174,51,3.34,27,198,Moderate,2015,2
2015-02-05,Agra,North,105,161,40,3.87,29,204,Poor,2015,2
2015-02-05,Agra,North,103,182,44,4.18,24,205,Poor,2015,2
2015-02-06,Agra,North,96,195,56,3.75,27,212,Poor,2015,2
2015-02-06,Agra,North,108,240,67,4.83,28,249,Poor,2015,2
2015-02-07,Agra,North,98,189,55,4.35,25,223,Poor,2015,2
2015-02-07,Agra,North,89,205,58,4.43,36,232,Poor,2015,2
2015-02-08,Agra,North,121,192,43,3.75,16,217,Poor,2015,2
2015-02-09,Agra,North,128,227,56,4.94,29,251,Poor,2015,2
2015-02-09,Agra,North,112,210,74,4.83,27,252,Poor,2015,2
2015-02-09,Agra,North,85,186,50,3.47,26,205,Poor,2015,2
2015-02-09,Agra,North,104,203,55,4.06,24,229,Poor,2015,2
2015-02-10,Agra,North,120,195,58,4.71,33,235,Poor,2015,2
2015-02-14,Agra,North,98,191,54,3.85,25,225,Poor,2015,2
2015-02-18,Agra,North,103,191,48,3.94,32,217,Poor,2015,2
2015-02-18,Agra,North,102,197,54,4.08,25,241,Poor,2015,2
2015-02-20,Agra,North,113,214,53,4.56,29,231,Poor,2015,2
2015-02-22,Agra,North,95,188,53,4.14,15,214,Poor,2015,2
2015-02-23,Agra,North,111,195,44,4.28,28,219,Poor,2015,2
2015-02-23,Agra,North,102,202,53,3.77,31,223,Poor,2015,2
2015-02-23,Agra,North,105,200,49,3.51,27,209,Poor,2015,2
2015-02-26,Agra,North,104,226,66,4.06,30,233,Poor,2015,2
2015-03-02,Agra,North,99,201,48,3.31,18,203,Poor,2015,3
2015-03-03,Agra,North,92,163,48,2.92,25,196,Moderate,2015,3
2015-03-03,Agra,North,98,180,58,3.71,25,201,Poor,2015,3
2015-03-04,Agra,North,100,178,45,3.57,31,210,Poor,2015,3
2015-03-05,Agra,North,89,164,36,3.67,24,195,Moderate,2015,3
2015-03-05,Agra,North,97,175,43,4.14,27,199,Moderate,2015,3
